user_id,login,contributor_name,joining_date
41457708,valenzsa,valenzsa,
20836739,shafrazi,shafrazi,
7287780,abisz,abisz,
23613367,Sneerbol,Sneerbol,
15308261,tahmidulkarim,tahmidulkarim,
40813528,RBenBeach,RBenBeach,
34267628,mpmaan,mpmaan,
21220107,Hpauric,Hpauric,
602422,paulywill,paulywill,
25513147,AtelesPaniscus,AtelesPaniscus,
24830039,o-rashad,o-rashad,
1487616,NolanChan,NolanChan,
28584388,hegdenischay,hegdenischay,
13804601,ncaron,ncaron,
15386845,NicholausJ,NicholausJ,
38882589,yves1011,yves1011,
42903383,winsonrich,winsonrich,
14347683,wilstenholme,wilstenholme,
7606025,tommygebru,tommygebru,
6051437,sonorangirl,sonorangirl,
32174276,semantic-release-bot,semantic-release-bot,
5810876,olhadon,olhadon,
8458817,codetwinkles,codetwinkles,
5338375,melascuco,melascuco,
4415850,letalumil,letalumil,
41494502,jasonranney,jasonranney,
16269157,fuserMRX,fuserMRX,
12542046,elazzabi,elazzabi,
37281604,ds-91,ds-91,
35352701,absentMindedDeveloper,absentMindedDeveloper,
37171082,KravMaguy,KravMaguy,
19592990,ZebulanStanphill,ZebulanStanphill,
40338102,dyx9,dyx9,
30444355,waldoluisribeiro,waldoluisribeiro,
309783,xnt,xnt,
25082666,Thaurin,Thaurin,
1006477,felixonmars,felixonmars,
25904662,evertonrbraga,evertonrbraga,
16511316,Evaldas22,Evaldas22,
16412025,DusanSacha,DusanSacha,
19391835,dulcehc,dulcehc,
977413,dorelljames,dorelljames,
9920385,djordjelacmanovic,djordjelacmanovic,
4172210,davidpucheta,davidpucheta,
10450602,codeman869,codeman869,
3117424,treece,treece,
30101196,agilebelma,agilebelma,
9364343,bearz314,bearz314,
44284019,lsomacruzl,lsomacruzl,
2182264,dervish86,dervish86,
23743415,alanpaulprice,alanpaulprice,
125485357,Ajay-2005,Ajay-2005,
24257171,aiganymus,aiganymus,
107747646,Agung1606,Agung1606,
27022492,AdilsonMoraes,AdilsonMoraes,
10237496,adityaarakeri,adityaarakeri,
20998754,nativedone,nativedone,
3457341,duffn,duffn,
8210763,nathanhannig,nathanhannig,
24697194,NailRusty,NailRusty,
10608765,marcusparsons,marcusparsons,
44328625,iceicelogan,iceicelogan,
44615796,LeoGuilherme,LeoGuilherme,
45669613,Hahlh,Hahlh,
7785251,lalov1,lalov1,
44288174,KrsBB,KrsBB,
33925317,eulerkochy,eulerkochy,
2864891,JosephinesGhost,JosephinesGhost,
17085735,gabrieldomene,gabrieldomene,
449874,storbeck,storbeck,
77448,GonzaloGM,GonzaloGM,
33491428,Roxicaro,Roxicaro,
24214306,iabrenne,iabrenne,
872479,jamigibbs,jamigibbs,
62906996,jnahan,jnahan,
6002459,jonathanihm,jonathanihm,
13081611,pha3t0n,pha3t0n,
12819631,lugDroid,lugDroid,
30006202,amit-deshwal,amit-deshwal,
26606891,aosimeon,aosimeon,
41878493,amygonzales,amygonzales,
28235226,noandersonls,noandersonls,
576263,agsh,agsh,
37952239,rxxsta,rxxsta,
44277272,don0t,don0t,
7230233,abutler911,abutler911,
37790192,angelisamaria,angelisamaria,
1936040,atabas,atabas,
15164241,AntTAKEOVER,AntTAKEOVER,
5465919,AnugrahRochmat,AnugrahRochmat,
88131400,Arif-Khalid,Arif-Khalid,
886965,alex-hjkl,alex-hjkl,
469062,awwakum,awwakum,
37016581,alexChurkin,alexChurkin,
4489226,aksenoff,aksenoff,
57620699,alagumuthiah,alagumuthiah,
9354725,AkshayBabbar,AkshayBabbar,
24777618,12aikerim,12aikerim,
13351451,Tharwaat,Tharwaat,
57593864,Ahmadkashif,Ahmadkashif,
16804531,AdrianoCh,AdrianoCh,
11668564,aditya-sridhar,aditya-sridhar,
24977208,Timmymichael,Timmymichael,
19528542,Adarsh-sophos,Adarsh-sophos,
170270,sindresorhus,sindresorhus,
5341072,davisonio,davisonio,
910753,RichardLitt,RichardLitt,
6025224,arthurvr,arthurvr,
159718,kdeldycke,kdeldycke,
1682367,AllThingsSmitty,AllThingsSmitty,
1016365,PatrickJS,PatrickJS,
19847480,johnjago,johnjago,
921217,RayBB,RayBB,
5144225,stevestock,stevestock,
177360,egeerardyn,egeerardyn,
3991845,willianjusten,willianjusten,
5105812,YerkoPalma,YerkoPalma,
78788887,z00rat,z00rat,
1752374,aliesbelik,aliesbelik,
18677,fabacab,fabacab,
5616595,arslanbilal,arslanbilal,
8420490,joshwiens,joshwiens,
1935696,karlhorky,karlhorky,
1785552,leoruhland,leoruhland,
441011,mischah,mischah,
14755525,maehr,maehr,
1614009,petk,petk,
1098270,sfischer13,sfischer13,
6316590,stevemao,stevemao,
499192,vinkla,vinkla,
