repo_id,contributor_login,user_id,type,site_admin
28457823,JosephLivengood,13642392,User,False
28457823,dokkillo,920841,User,False
28457823,RafaelDavisH,6822714,User,False
28457823,larymak,63947040,User,False
28457823,NitronR,7567035,User,False
28457823,ezioda004,20020273,User,False
28457823,patsul12,6024604,User,False
28457823,bdtripp,46498972,User,False
28457823,arku,7039523,User,False
28457823,weilirs,62249815,User,False
28457823,DDaems,7575436,User,False
28457823,ihechikara,54513385,User,False
28457823,JoolsMcFly,4972399,User,False
28457823,HKuz,9591826,User,False
28457823,AshNaz87,20570746,User,False
28457823,TyMick,5317080,User,False
28457823,naomi-lgbt,63889819,User,False
28457823,RGHANILOO,26300368,User,False
28457823,vkWeb,26724128,User,False
28457823,elcodex,20241452,User,False
28457823,aldraco,9719214,User,False
28457823,dev-kamil,54180588,User,False
28457823,joel-bentley,10087880,User,False
28457823,GeneralZero,963773,User,False
28457823,raditotev,5617443,User,False
28457823,alanbares,10662315,User,False
28457823,hassaanp,10243572,User,False
28457823,nayabatir1,91016903,User,False
28457823,awu43,46470763,User,False
28457823,lipis,125676,User,False
28457823,arizfaiyaz,147751472,User,False
28457823,joseteIIo,78005001,User,False
28457823,joshalling,7757937,User,False
28457823,MGenteluci,22054102,User,False
28457823,shootermv,1336862,User,False
28457823,agilan11,140779703,User,False
28457823,sahilkhurana19,15441946,User,False
28457823,MiloATH,12666146,User,False
28457823,brandenbyers,7098232,User,False
28457823,altsun,23631165,User,False
28457823,garyeung,5206130,User,False
28457823,thecaffeinedev,15822647,User,False
28457823,Twaha-Rahman,39026437,User,False
28457823,Vimal-Raghubir,25648267,User,False
28457823,Em-Ant,12955734,User,False
28457823,aditijoshi14,23132028,User,False
28457823,brenoxav,5323054,User,False
28457823,aulisius,6629172,User,False
28457823,gforce2k5,16507557,User,False
28457823,jbmartinez,4247923,User,False
28457823,cmccormack,3016919,User,False
28457823,z0x0936,75427230,User,False
28457823,bonham000,18126719,User,False
28457823,SudhakarKuma,12606778,User,False
28457823,Ethan-Arrowood,16144158,User,False
28457823,LenaBarinova,2317409,User,False
28457823,Ismailtlem,34961373,User,False
28457823,octavio-js,179933691,User,False
28457823,Re1nGer,63101847,User,False
28457823,AdrianSkar,12052430,User,False
28457823,Dana94,20132264,User,False
28457823,dmytroyarmak,1378201,User,False
28457823,igorhideki,7569938,User,False
28457823,michael-krebs,6935181,User,False
28457823,tannerabread,30082936,User,False
28457823,tcyrus,4201229,User,False
28457823,StephenMuya,186454972,User,False
28457823,ptsurbeleu,3822219,User,False
28457823,pbnj,6811830,User,False
28457823,cuongpham24,57196881,User,False
28457823,robbawebba,10067384,User,False
28457823,DeveloperViraj,203398049,User,False
28457823,alexch,8524,User,False
28457823,AungMyoKyaw,9404824,User,False
28457823,alirezaghey,26653424,User,False
28457823,KartikSoneji,25801283,User,False
28457823,ailyntang,12948766,User,False
28457823,Atomk,6122017,User,False
28457823,StuartMosquera,179268889,User,False
28457823,Riya267,81959232,User,False
28457823,zho00,205185735,User,False
28457823,rahulsuresh-git,22114682,User,False
28457823,Nitz2611,75838617,User,False
28457823,ninadingole,1947050,User,False
28457823,figitalboy,30606129,User,False
28457823,Kernix13,66497948,User,False
28457823,gmal1,28880819,User,False
28457823,farchettiensis,110430578,User,False
28457823,l3onhard,11031091,User,False
28457823,drecali,24983797,User,False
28457823,nishant-tomer,15999657,User,False
28457823,iLtc,4352234,User,False
28457823,DylanDevelops,48571264,User,False
28457823,KevTrang00,44285042,User,False
28457823,adrianwithah,20010384,User,False
28457823,javi-aranda,24555230,User,False
28457823,alfredojry,43357527,User,False
28457823,AnonSar,36872756,User,False
28457823,DerrykBoyd,24216368,User,False
28457823,eltociear,22633385,User,False
28457823,saadanerdetbare,12987548,User,False
28457823,juricazuanovic,2566224,User,False
28457823,kannan-ravi,29636557,User,False
28457823,kelvinsanchez15,4708484,User,False
28457823,mtrifilo,8886227,User,False
28457823,MohamadSalman11,139472418,User,False
28457823,MrRenter,1185346,User,False
28457823,NatashaHaggard,6363980,User,False
28457823,bqnguyen94,11720085,User,False
28457823,bekliev,4066435,User,False
28457823,pranayberry,15723427,User,False
28457823,rayswebpresence,25560592,User,False
28457823,SuperSurok,25467496,User,False
28457823,S1ngS1ng,13592559,User,False
28457823,richard937,42942897,User,False
28457823,zxc-w,163780208,User,False
28457823,padulam,11588747,User,False
28457823,Sriparno08,89148144,User,False
28457823,tanmaygautam11,125370330,User,False
28457823,sitek94,58401630,User,False
28457823,victor-duarte,1746030,User,False
28457823,kurzninja,8992452,User,False
28457823,kalmufti,3825461,User,False
28457823,JordanMooree,27147016,User,False
28457823,alexgoldsmith,46906584,User,False
28457823,Cesar-Jim,43055147,User,False
