user_id,repo_id,exact_contributions
44135271,155220641,1
11011688,3482588,1
1347381,45717250,1
100587814,15634981,1
127957412,643445235,1
1174278,557980,1
19700980,155220641,1
1231703,34526884,1
18117535,557980,1
6079305,34526884,1
69147968,3482588,1
45907836,15634981,1
362490,45717250,1
32954280,155220641,1
13091705,557980,1
22452,557980,1
24562285,643445235,1
30300826,45717250,1
10286961,643445235,1
10723655,155220641,1
33526847,15634981,1
108273,34526884,1
1658380,557980,1
12531007,3482588,1
37143265,34526884,1
12827972,45717250,1
5847884,643445235,1
31401273,3482588,1
138701551,155220641,1
63142068,643445235,1
92606669,557980,1
4292888,34526884,1
32123066,15634981,1
75809682,3482588,1
69567729,155220641,1
6144353,557980,1
104020739,643445235,1
710113,45717250,1
10598397,643445235,1
6329420,15634981,1
6284204,3482588,1
4755430,155220641,1
3890983,45717250,1
2352020,15634981,1
5868919,557980,1
6898938,3482588,1
13060349,34526884,1
71180446,34526884,1
913790,45717250,1
19972511,15634981,1
17495884,155220641,1
11673174,643445235,1
39313898,34526884,1
8107129,557980,1
6998322,34526884,1
2116566,15634981,1
22788841,34526884,1
10543859,15634981,1
30155094,45717250,1
19263306,155220641,1
72543317,643445235,1
26109705,155220641,1
1060672,557980,1
22596574,3482588,1
40727318,3482588,1
53238776,45717250,1
5100250,15634981,1
29777165,155220641,1
13784931,557980,1
13976264,34526884,1
6524977,643445235,1
4494413,3482588,1
120119,557980,1
47436172,45717250,1
43702737,643445235,1
50320229,34526884,1
1720400,45717250,1
24873615,3482588,1
49078770,3482588,1
15639,15634981,1
7792136,15634981,1
15737127,45717250,1
189344,557980,1
20198500,155220641,1
21088122,155220641,1
33503476,643445235,1
3468483,34526884,1
3776815,3482588,1
37351410,643445235,1
22173987,45717250,1
20663037,90796663,1
24998666,155220641,1
11361354,3482588,1
1404810,557980,1
161462588,626805178,1
71492529,85077558,1
10052313,196701619,1
2789192,44571718,1
3857587,699532645,1
88084186,85077558,1
56425392,643445235,1
18116695,15634981,1
43645580,626805178,1
4047861,3638964,1
23520283,34526884,1
3217537,557980,1
307872,90796663,1
33373714,196701619,1
71074961,699532645,1
91766386,626805178,1
60622945,85077558,1
940557,3638964,1
499550,44571718,1
1030492,90796663,1
144783,699532645,1
29597798,3638964,1
13754094,90796663,1
45450994,44571718,1
75803955,85077558,1
64036239,699532645,1
20832069,626805178,1
1874853,85077558,1
414626,3638964,1
1444526,44571718,1
81205298,196701619,1
83356118,196701619,1
13235519,90796663,1
1981683,626805178,1
2116692,196701619,1
26322915,699532645,1
963873,85077558,1
1350584,699532645,1
72989,44571718,1
28656991,626805178,1
2581560,90796663,1
5292461,3638964,1
45297189,699532645,1
230335,3638964,1
15008907,44571718,1
35845083,626805178,1
32732184,196701619,1
649648,3638964,1
24429314,626805178,1
15230429,90796663,1
13039008,196701619,1
56962038,85077558,1
1490081,44571718,1
50290814,85077558,1
292365,90796663,1
10401566,196701619,1
918617,626805178,1
386070,699532645,1
705161,3638964,1
15641577,699532645,1
6752989,90796663,1
2107635,196701619,1
39580073,85077558,1
124441348,85077558,1
1363772,44571718,1
391807,3638964,1
8433587,44571718,1
106394426,90796663,1
32453863,626805178,1
8638243,44571718,1
15188817,196701619,1
477680,85077558,1
8251055,699532645,1
13337039,3638964,1
22633385,699532645,1
34477873,3638964,1
844361,90796663,1
524617,44571718,1
17357224,85077558,1
45244658,626805178,1
5460365,44571718,1
